Dataset: ;Last updated: ;Time frequency;Unit of measure;International classification of crime for statistical purposes (ICCS);Region;Year;Value;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Hersfeld-Rotenburg;2009;62;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Hersfeld-Rotenburg;2010.0;51.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Kassel, Landkreis;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Kassel, Landkreis;2009;159;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Kassel, Landkreis;2010.0;136.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Schwalm-Eder-Kreis;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Schwalm-Eder-Kreis;2009;73;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Schwalm-Eder-Kreis;2010.0;86.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Waldeck-Frankenberg;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Waldeck-Frankenberg;2009;49;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Waldeck-Frankenberg;2010.0;60.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Werra-Meißner-Kreis;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Werra-Meißner-Kreis;2009;52;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Werra-Meißner-Kreis;2010.0;28.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Mecklenburg-Vorpommern;2008;2220;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Mecklenburg-Vorpommern;2009;2153;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Mecklenburg-Vorpommern;2010.0;2289.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Greifswald, Kreisfreie Stadt (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Greifswald, Kreisfreie Stadt (NUTS 2010);2009;85;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Greifswald, Kreisfreie Stadt (NUTS 2010);2010.0;110.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Neubrandenburg, Kreisfreie Stadt (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Neubrandenburg, Kreisfreie Stadt (NUTS 2010);2009;136;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Neubrandenburg, Kreisfreie Stadt (NUTS 2010);2010.0;128.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Rostock, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Rostock, Kreisfreie Stadt;2009;326;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Rostock, Kreisfreie Stadt;2010.0;584.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Schwerin, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Schwerin, Kreisfreie Stadt;2009;158;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Schwerin, Kreisfreie Stadt;2010.0;143.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Stralsund, Kreisfreie Stadt (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Stralsund, Kreisfreie Stadt (NUTS 2010);2009;68;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Stralsund, Kreisfreie Stadt (NUTS 2010);2010.0;50.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Wismar, Kreisfreie Stadt (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Wismar, Kreisfreie Stadt (NUTS 2010);2009;71;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Wismar, Kreisfreie Stadt (NUTS 2010);2010.0;52.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Bad Doberan (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Bad Doberan (NUTS 2010);2009;202;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Bad Doberan (NUTS 2010);2010.0;170.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Demmin (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Demmin (NUTS 2010);2009;116;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Demmin (NUTS 2010);2010.0;105.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Güstrow (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Güstrow (NUTS 2010);2009;179;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Güstrow (NUTS 2010);2010.0;169.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Ludwigslust (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Ludwigslust (NUTS 2010);2009;145;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Ludwigslust (NUTS 2010);2010.0;167.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Mecklenburg-Strelitz (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Mecklenburg-Strelitz (NUTS 2010);2009;112;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Mecklenburg-Strelitz (NUTS 2010);2010.0;62.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Müritz (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Müritz (NUTS 2010);2009;55;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Müritz (NUTS 2010);2010.0;66.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Nordvorpommern (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Nordvorpommern (NUTS 2010);2009;92;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Nordvorpommern (NUTS 2010);2010.0;83.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Nordwestmecklenburg (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Nordwestmecklenburg (NUTS 2010);2009;158;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Nordwestmecklenburg (NUTS 2010);2010.0;103.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Ostvorpommern (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Ostvorpommern (NUTS 2010);2009;75;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Ostvorpommern (NUTS 2010);2010.0;120.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Parchim (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Parchim (NUTS 2010);2009;86;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Parchim (NUTS 2010);2010.0;64.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Rügen (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Rügen (NUTS 2010);2009;35;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Rügen (NUTS 2010);2010.0;41.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Uecker-Randow (NUTS 2010);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Uecker-Randow (NUTS 2010);2009;54;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Uecker-Randow (NUTS 2010);2010.0;71.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Niedersachsen;2008;6597;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Niedersachsen;2009;6827;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Niedersachsen;2010.0;6242.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Braunschweig, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Braunschweig, Kreisfreie Stadt;2009;290;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Braunschweig, Kreisfreie Stadt;2010.0;339.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Salzgitter, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Salzgitter, Kreisfreie Stadt;2009;81;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Salzgitter, Kreisfreie Stadt;2010.0;122.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Wolfsburg, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Wolfsburg, Kreisfreie Stadt;2009;431;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Wolfsburg, Kreisfreie Stadt;2010.0;459.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Gifhorn;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Gifhorn;2009;151;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Gifhorn;2010.0;143.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Göttingen (NUTS 2013);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Göttingen (NUTS 2013);2009;134;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Göttingen (NUTS 2013);2010.0;147.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Goslar;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Goslar;2009;84;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Goslar;2010.0;92.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Helmstedt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Helmstedt;2009;99;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Helmstedt;2010.0;96.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Northeim;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Northeim;2009;52;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Northeim;2010.0;44.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Osterode am Harz (NUTS 2013);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Osterode am Harz (NUTS 2013);2009;37;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Osterode am Harz (NUTS 2013);2010.0;43.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Peine;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Peine;2009;105;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Peine;2010.0;104.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Wolfenbüttel;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Wolfenbüttel;2009;67;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Wolfenbüttel;2010.0;64.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Diepholz;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Diepholz;2009;106;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Diepholz;2010.0;82.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Hameln-Pyrmont;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Hameln-Pyrmont;2009;75;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Hameln-Pyrmont;2010.0;53.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Hildesheim;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Hildesheim;2009;151;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Hildesheim;2010.0;128.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Holzminden;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Holzminden;2009;30;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Holzminden;2010.0;33.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Nienburg (Weser);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Nienburg (Weser);2009;96;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Nienburg (Weser);2010.0;81.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Schaumburg;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Schaumburg;2009;94;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Schaumburg;2010.0;123.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Region Hannover;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Region Hannover;2009;1570;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Region Hannover;2010.0;1261.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Celle;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Celle;2009;246;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Celle;2010.0;188.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Cuxhaven;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Cuxhaven;2009;137;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Cuxhaven;2010.0;114.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Harburg;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Harburg;2009;214;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Harburg;2010.0;255.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Lüchow-Dannenberg;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Lüchow-Dannenberg;2009;21;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Lüchow-Dannenberg;2010.0;27.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Lüneburg, Landkreis;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Lüneburg, Landkreis;2009;253;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Lüneburg, Landkreis;2010.0;205.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Osterholz;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Osterholz;2009;67;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Osterholz;2010.0;60.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Rotenburg (Wümme);2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Rotenburg (Wümme);2009;90;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Rotenburg (Wümme);2010.0;96.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Theft of a motorized land vehicle;Heidekreis;2008;:;
