Dataset: ;Last updated: ;Time frequency;Land use;Unit of measure;Region;Year;Value;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Saarpfalz-Kreis;2022;418;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;St. Wendel;2022;476;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Sachsen;2022;18450;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Dresden;2022;7944;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Dresden, Kreisfreie Stadt;2022;328;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bautzen;2022;2396;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Görlitz;2022;2111;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Meißen;2022;1455;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Sächsische Schweiz-Osterzgebirge;2022;1654;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Chemnitz;2022;6528;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Chemnitz, Kreisfreie Stadt;2022;221;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Erzgebirgskreis;2022;1828;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Mittelsachsen;2022;2117;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Vogtlandkreis;2022;1412;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Zwickau;2022;950;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Leipzig;2022;3978;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Leipzig, Kreisfreie Stadt;2022;298;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Leipzig;2022;1651;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Nordsachsen;2022;2029;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Sachsen-Anhalt;2022;20454;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Sachsen-Anhalt;2022;20454;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Dessau-Roßlau, Kreisfreie Stadt;2022;245;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Halle (Saale), Kreisfreie Stadt;2022;135;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Magdeburg, Kreisfreie Stadt;2022;201;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Altmarkkreis Salzwedel;2022;2293;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Anhalt-Bitterfeld;2022;1454;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Jerichower Land;2022;1577;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Börde;2022;2367;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Burgenlandkreis (DE);2022;1414;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Harz;2022;2105;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Mansfeld-Südharz;2022;1449;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Saalekreis;2022;1434;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Salzlandkreis;2022;1427;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Stendal;2022;2423;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Wittenberg;2022;1930;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Schleswig-Holstein;2022;15802;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Schleswig-Holstein;2022;15802;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Flensburg, Kreisfreie Stadt;2022;57;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Kiel, Kreisfreie Stadt;2022;119;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Lübeck, Kreisfreie Stadt;2022;214;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Neumünster, Kreisfreie Stadt;2022;72;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Dithmarschen;2022;1428;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Herzogtum Lauenburg;2022;1263;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Nordfriesland;2022;2083;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Ostholstein;2022;1393;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Pinneberg;2022;664;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Plön;2022;1083;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rendsburg-Eckernförde;2022;2189;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Schleswig-Flensburg;2022;2071;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Segeberg;2022;1344;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Steinburg;2022;1056;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Stormarn;2022;766;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Thüringen;2022;16201;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Thüringen;2022;16201;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Erfurt, Kreisfreie Stadt;2022;270;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Gera, Kreisfreie Stadt;2022;152;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Jena, Kreisfreie Stadt;2022;115;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Suhl, Kreisfreie Stadt;2022;103;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Weimar, Kreisfreie Stadt;2022;84;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Eichsfeld;2022;943;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Nordhausen;2022;714;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Unstrut-Hainich-Kreis;2022;980;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Kyffhäuserkreis;2022;1038;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Schmalkalden-Meiningen;2022;1211;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Gotha;2022;936;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Sömmerda;2022;807;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hildburghausen;2022;938;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Ilm-Kreis;2022;844;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Weimarer Land;2022;804;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Sonneberg;2022;434;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Saalfeld-Rudolstadt;2022;1036;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Saale-Holzland-Kreis;2022;815;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Saale-Orla-Kreis;2022;1151;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Greiz;2022;846;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Altenburger Land;2022;569;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Eisenach, Kreisfreie Stadt;2022;104;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Wartburgkreis;2022;1307;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Germany (until 1990 former territory of the FRG);2022;353296;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Baden-Württemberg;2022;35354;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Stuttgart;2022;10549;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Stuttgart, Stadtkreis;2022;206;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Böblingen;2022;618;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Esslingen;2022;641;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Göppingen;2022;642;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ludwigsburg;2022;685;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rems-Murr-Kreis;2022;858;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Heilbronn, Stadtkreis;2022;100;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Heilbronn, Landkreis;2022;1098;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Hohenlohekreis;2022;777;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Schwäbisch Hall;2022;1484;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Main-Tauber-Kreis;2022;1303;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Heidenheim;2022;627;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ostalbkreis;2022;1510;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Karlsruhe;2022;6860;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Baden-Baden, Stadtkreis;2022;139;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Karlsruhe, Stadtkreis;2022;169;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Karlsruhe, Landkreis;2022;1067;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rastatt;2022;723;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Heidelberg, Stadtkreis;2022;107;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Mannheim, Stadtkreis;2022;140;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Neckar-Odenwald-Kreis;2022;1123;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rhein-Neckar-Kreis;2022;1054;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Pforzheim, Stadtkreis;2022;98;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Calw;2022;797;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Enzkreis;2022;574;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Freudenstadt;2022;869;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Freiburg;2022;9262;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Freiburg im Breisgau, Stadtkreis;2022;153;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Breisgau-Hochschwarzwald;2022;1366;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Emmendingen;2022;677;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ortenaukreis;2022;1843;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rottweil;2022;769;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Schwarzwald-Baar-Kreis;2022;1024;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Tuttlingen;2022;734;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Konstanz;2022;770;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Lörrach;2022;802;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Waldshut;2022;1124;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Tübingen;2022;8683;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Reutlingen;2022;1092;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Tübingen, Landkreis;2022;518;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Zollernalbkreis;2022;918;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ulm, Stadtkreis;2022;119;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Alb-Donau-Kreis;2022;1356;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Biberach;2022;1406;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bodenseekreis;2022;446;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ravensburg;2022;1628;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Sigmaringen;2022;1200;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bayern;2022;69900;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Oberbayern;2022;17187;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ingolstadt, Kreisfreie Stadt;2022;130;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;München, Kreisfreie Stadt;2022;310;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rosenheim, Kreisfreie Stadt;2022;37;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Altötting;2022;563;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Berchtesgadener Land;2022;832;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bad Tölz-Wolfratshausen;2022;1085;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Dachau;2022;578;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ebersberg;2022;547;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Eichstätt;2022;1211;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Erding;2022;870;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Freising;2022;797;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Fürstenfeldbruck;2022;435;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Garmisch-Partenkirchen;2022;1000;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Landsberg am Lech;2022;749;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Miesbach;2022;854;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Mühldorf am Inn;2022;801;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;München, Landkreis;2022;658;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Neuburg-Schrobenhausen;2022;732;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Pfaffenhofen an der Ilm;2022;754;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rosenheim, Landkreis;2022;1416;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Starnberg;2022;425;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Traunstein;2022;1447;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Weilheim-Schongau;2022;956;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Niederbayern;2022;10256;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Landshut, Kreisfreie Stadt;2022;66;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Passau, Kreisfreie Stadt;2022;65;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Straubing, Kreisfreie Stadt;2022;65;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Deggendorf;2022;850;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Freyung-Grafenau;2022;984;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Kelheim;2022;1059;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Landshut, Landkreis;2022;1343;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Passau, Landkreis;2022;1516;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Regen;2022;973;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rottal-Inn;2022;1275;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Straubing-Bogen;2022;1188;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Dingolfing-Landau;2022;872;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Oberpfalz;2022;9645;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Amberg, Kreisfreie Stadt;2022;50;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Regensburg, Kreisfreie Stadt;2022;79;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Weiden in der Oberpfalz, Kreisfreie Stadt;2022;71;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Amberg-Sulzbach;2022;1255;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Cham;2022;1517;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Neumarkt in der Oberpfalz;2022;1344;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Neustadt an der Waldnaab;2022;1422;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Regensburg, Landkreis;2022;1380;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Schwandorf;2022;1447;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Tirschenreuth;2022;1080;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Oberfranken;2022;7217;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bamberg, Kreisfreie Stadt;2022;55;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bayreuth, Kreisfreie Stadt;2022;67;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Coburg, Kreisfreie Stadt;2022;48;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Hof, Kreisfreie Stadt;2022;57;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bamberg, Landkreis;2022;1161;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bayreuth, Landkreis;2022;1274;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Coburg, Landkreis;2022;590;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Forchheim;2022;642;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Hof, Landkreis;2022;891;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Kronach;2022;651;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Kulmbach;2022;658;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Lichtenfels;2022;517;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Wunsiedel im Fichtelgebirge;2022;606;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Mittelfranken;2022;7214;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ansbach, Kreisfreie Stadt;2022;100;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Erlangen, Kreisfreie Stadt;2022;76;
