NUTS;City;Average Concentration;Pollutant;Number of Records;Number of Cities;UnitOfMeasurement
HU31;Miskolc;3.657617788622054;SO2;8723;8784;µg/m3
HU32;Nyiregyhaza;2.915526265803502;SO2;16997;17568;µg/m3
HU23;Pecs;3.627778093918977;SO2;17359;17568;µg/m3
HU33;Szeged;8.989602373325747;SO2;8752;8784;µg/m3
IE05;Cork;3.2032839025351616;SO2;17120;17568;µg/m3
IE06;Dublin;3.277924285128159;SO2;17263;17568;µg/m3
IS00;Reykjavik;0.6892678551462287;SO2;17370;17568;µg/m3
ITI3;Ancona;3.8492230653601034;SO2;17183;17568;µg/m3
ITC1;Asti;6.397485411439686;SO2;35473;43920;µg/m3
ITC4;Bergamo;2.425994330764822;SO2;110547;114192;µg/m3
ITC1;Biella;6.397485411439686;SO2;35473;43920;µg/m3
ITH1;Bolzano;0.8005979134750937;SO2;8630;8784;µg/m3
ITC4;Brescia;2.425994330764822;SO2;110547;114192;µg/m3
ITC4;Busto Arsizio;2.425994330764822;SO2;110547;114192;µg/m3
ITG2;Cagliari;1.2468718720936767;SO2;24445;26352;µg/m3
ITF2;Campobasso;3.5625274715289312;SO2;7829;8784;µg/m3
ITG1;Catania;2.3107801401356864;SO2;29046;42528;µg/m3
ITF6;Catanzaro;5.881607687737347;SO2;24756;26352;µg/m3
ITC4;Como;2.425994330764822;SO2;110547;114192;µg/m3
ITF6;Cosenza;5.881607687737347;SO2;24756;26352;µg/m3
ITC4;Cremona;2.425994330764822;SO2;110547;114192;µg/m3
ITI1;Firenze;0.8538968824940047;SO2;16680;17568;µg/m3
ITC3;Genova;4.5797412950423295;SO2;49787;52704;µg/m3
ITC3;La Spezia;4.5797412950423295;SO2;49787;52704;µg/m3
ITC4;Lecco;2.425994330764822;SO2;110547;114192;µg/m3
ITI1;Livorno;0.8538968824940047;SO2;16680;17568;µg/m3
ITG1;Messina;2.3107801401356864;SO2;29046;42528;µg/m3
ITC4;Milano;2.425994330764822;SO2;110547;114192;µg/m3
ITF3;Napoli;2.2971950491480793;SO2;44778;52704;µg/m3
ITC1;Novara;6.397485411439686;SO2;35473;43920;µg/m3
ITH3;Padova;3.1100715990453462;SO2;41900;43920;µg/m3
ITG1;Palermo;2.3107801401356864;SO2;29046;42528;µg/m3
ITC4;Pavia;2.425994330764822;SO2;110547;114192;µg/m3
ITI2;Perugia;1.789763680778485;SO2;8040;8784;µg/m3
ITF1;Pescara;0.7605577587270157;SO2;8319;8784;µg/m3
ITH5;Ravenna;2.167993246502653;SO2;8292;8784;µg/m3
ITF6;Reggio di Calabria;5.881607687737347;SO2;24756;26352;µg/m3
ITI4;Roma;0.592475303552608;SO2;24599;26352;µg/m3
ITF3;Salerno;2.2971950491480793;SO2;44778;52704;µg/m3
ITC3;Sanremo;4.5797412950423295;SO2;49787;52704;µg/m3
ITG2;Sassari;1.2468718720936767;SO2;24445;26352;µg/m3
ITC3;Savona;4.5797412950423295;SO2;49787;52704;µg/m3
ITG1;Siracusa;2.3107801401356864;SO2;29046;42528;µg/m3
ITF4;Taranto;3.394369690672809;SO2;15667;17568;µg/m3
ITC1;Torino;6.397485411439686;SO2;35473;43920;µg/m3
ITH2;Trento;2.0815005707068703;SO2;8730;8784;µg/m3
ITH3;Treviso;3.1100715990453462;SO2;41900;43920;µg/m3
ITH4;Trieste;1.1742465963250979;SO2;7407;8784;µg/m3
ITC4;Varese;2.425994330764822;SO2;110547;114192;µg/m3
ITH3;Venezia;3.1100715990453462;SO2;41900;43920;µg/m3
