code;city;NUTS;City;Average Concentration;Pollutant;Number of Records;Number of Cities;UnitOfMeasurement
CH06;Zentralschweiz;CH06;Luzern;19.20867180569504;NO;8783;8784;µg/m3
ITI2;Umbria;ITI2;Perugia;1.789763680778485;SO2;8040;8784;µg/m3
ITI2;Umbria;ITI2;Perugia;24.364499288087327;PM10;2107;2196;µg/m3
ITI2;Umbria;ITI2;Terni;24.364499288087327;PM10;2107;2196;µg/m3
ITI2;Umbria;ITI2;Perugia;49.889981343044;O3;16619;17568;µg/m3
ITI2;Umbria;ITI2;Terni;49.889981343044;O3;16619;17568;µg/m3
ITI2;Umbria;ITI2;Perugia;18.438909694478525;NO2;49124;52704;µg/m3
ITI2;Umbria;ITI2;Terni;18.438909694478525;NO2;49124;52704;µg/m3
ITI2;Umbria;ITI2;Perugia;0.4669911470832842;CO;17170;17568;µg/m3
ITI2;Umbria;ITI2;Terni;0.4669911470832842;CO;17170;17568;µg/m3
ITI2;Umbria;ITI2;Perugia;12.337148088598903;NO;49125;52704;µg/m3
ITI2;Umbria;ITI2;Terni;12.337148088598903;NO;49125;52704;µg/m3
CY00;Kypros;CY00;Lefkosia;2.629393740429761;SO2;17568;17568;µg/m3
CY00;Kypros;CY00;Lefkosia;30.828688520901608;PM10;732;732;µg/m3
CY00;Kypros;CY00;Lemesos;30.828688520901608;PM10;732;732;µg/m3
CY00;Kypros;CY00;Lefkosia;61.69258001867388;O3;17568;17568;µg/m3
CY00;Kypros;CY00;Lefkosia;23.119277207849365;NO2;17568;17568;µg/m3
CY00;Kypros;CY00;Lefkosia;0.378844481205602;CO;17568;17568;µg/m3
PL52;Opolskie;PL52;Opole;3.634094030945525;SO2;8757;8763;µg/m3
PL52;Opolskie;PL52;Opole;23.15818084962167;PM10;9120;9121;µg/m3
PL52;Opolskie;PL52;Opole;48.25952157809365;O3;8760;8763;µg/m3
PL52;Opolskie;PL52;Opole;13.897800959133727;NO2;8704;8763;µg/m3
PL52;Opolskie;PL52;Opole;2.8121608855255484;NO;8705;8763;µg/m3
DEC0;Saarland;DEC0;Saarbrucken;1.8147364194614948;SO2;8783;8784;µg/m3
DEC0;Saarland;DEC0;Saarbrucken;13.681933127193808;PM10;26320;26352;µg/m3
DEC0;Saarland;DEC0;Saarbrucken;47.71043044342679;O3;35103;35136;µg/m3
DEC0;Saarland;DEC0;Saarbrucken;19.739460209844975;NO2;35125;35136;µg/m3
DEC0;Saarland;DEC0;Saarbrucken;0.3709611218697931;CO;8771;8784;µg/m3
DEC0;Saarland;DEC0;Saarbrucken;10.802630392069831;NO;35124;35136;µg/m3
SI04;Zahodna Slovenija;SI04;Ljubljana;3.0279304543721186;SO2;8369;8784;µg/m3
SI04;Zahodna Slovenija;SI04;Ljubljana;20.76320939334638;PM10;1022;1035;µg/m3
SI04;Zahodna Slovenija;SI04;Ljubljana;41.058716084077375;O3;8404;8784;µg/m3
SI04;Zahodna Slovenija;SI04;Ljubljana;21.456451511870007;NO2;13231;13848;µg/m3
SI04;Zahodna Slovenija;SI04;Ljubljana;0.3499690364380374;CO;8397;8784;µg/m3
DE72;Gießen;DE72;Wetzlar;0.918340679244112;SO2;8759;8784;µg/m3
DE72;Gießen;DE72;Giessen;14.533547396397934;PM10;35121;35258;µg/m3
DE72;Gießen;DE72;Marburg;14.533547396397934;PM10;35121;35258;µg/m3
DE72;Gießen;DE72;Wetzlar;14.533547396397934;PM10;35121;35258;µg/m3
DE72;Gießen;DE72;Marburg;42.626983001855;O3;17525;17568;µg/m3
DE72;Gießen;DE72;Wetzlar;42.626983001855;O3;17525;17568;µg/m3
DE72;Gießen;DE72;Giessen;25.666134585668853;NO2;35082;35175;µg/m3
DE72;Gießen;DE72;Marburg;25.666134585668853;NO2;35082;35175;µg/m3
DE72;Gießen;DE72;Wetzlar;25.666134585668853;NO2;35082;35175;µg/m3
DE72;Gießen;DE72;Giessen;0.3240427368417746;CO;17532;17568;µg/m3
DE72;Gießen;DE72;Marburg;0.3240427368417746;CO;17532;17568;µg/m3
DE72;Gießen;DE72;Giessen;17.132456465612332;NO;35035;35136;µg/m3
DE72;Gießen;DE72;Marburg;17.132456465612332;NO;35035;35136;µg/m3
DE72;Gießen;DE72;Wetzlar;17.132456465612332;NO;35035;35136;µg/m3
DED5;Leipzig;DED5;Leipzig;1.7674200749611115;SO2;8746;8784;µg/m3
DED5;Leipzig;DED5;Leipzig;15.546191982930353;PM10;26330;27450;µg/m3
DED5;Leipzig;DED5;Leipzig;46.915416539497386;O3;16224;26352;µg/m3
DED5;Leipzig;DED5;Leipzig;22.47775032100505;NO2;26182;26352;µg/m3
DED5;Leipzig;DED5;Leipzig;15.267904053255291;NO;26182;26352;µg/m3
DE24;Oberfranken;DE24;Bamberg;15.231560691048283;PM10;17442;17568;µg/m3
DE24;Oberfranken;DE24;Bayreuth;15.231560691048283;PM10;17442;17568;µg/m3
DE24;Oberfranken;DE24;Bamberg;20.022763379544124;NO2;17507;17568;µg/m3
DE24;Oberfranken;DE24;Bayreuth;20.022763379544124;NO2;17507;17568;µg/m3
DE24;Oberfranken;DE24;Bamberg;10.216259626460245;NO;17507;17568;µg/m3
DE24;Oberfranken;DE24;Bayreuth;10.216259626460245;NO;17507;17568;µg/m3
CZ04;Severozápad;CZ04;Usti nad Labem;5.532376707372983;SO2;9652;10223;µg/m3
CZ04;Severozápad;CZ04;Karlovy Vary;20.13107302956364;PM10;35246;35497;µg/m3
CZ04;Severozápad;CZ04;Most;20.13107302956364;PM10;35246;35497;µg/m3
CZ04;Severozápad;CZ04;Usti nad Labem;20.13107302956364;PM10;35246;35497;µg/m3
