code;city;NUTS;City;Average Concentration;Pollutant;Number of Records;Number of Cities;UnitOfMeasurement
DE30;Berlin;DE30;Berlin;45.693973802546765;O3;35047;35136;µg/m3
DE30;Berlin;DE30;Berlin;25.365312086720063;NO2;112916;115360;µg/m3
DE30;Berlin;DE30;Berlin;0.3176729201077732;CO;17537;17568;µg/m3
DE30;Berlin;DE30;Berlin;13.385495988450089;NO;111756;114192;µg/m3
NL33;Zuid-Holland;NL33;Dordrecht;18.68327105326851;PM10;68565;70272;µg/m3
NL33;Zuid-Holland;NL33;Rotterdam;18.68327105326851;PM10;68565;70272;µg/m3
NL33;Zuid-Holland;NL33;Dordrecht;44.7494979724246;O3;43484;43920;µg/m3
NL33;Zuid-Holland;NL33;Rotterdam;44.7494979724246;O3;43484;43920;µg/m3
NL33;Zuid-Holland;NL33;Dordrecht;25.34240297580748;NO2;69676;70272;µg/m3
NL33;Zuid-Holland;NL33;Rotterdam;25.34240297580748;NO2;69676;70272;µg/m3
NL33;Zuid-Holland;NL33;Dordrecht;9.790299813619058;NO;69676;70272;µg/m3
NL33;Zuid-Holland;NL33;Rotterdam;9.790299813619058;NO;69676;70272;µg/m3
EL30;Attiki;EL30;Athina;7.156530113341729;SO2;26998;35136;µg/m3
EL30;Attiki;EL30;Athina;24.626760690715127;PM10;55305;61487;µg/m3
EL30;Attiki;EL30;Athina;44.25176356117733;O3;49332;70271;µg/m3
EL30;Attiki;EL30;Athina;31.68243168184848;NO2;72016;79055;µg/m3
EL30;Attiki;EL30;Athina;0.6326073026423847;CO;26537;43920;µg/m3
EL30;Attiki;EL30;Athina;22.624319595645414;NO;72016;79055;µg/m3
DE71;Darmstadt;DE71;Darmstadt;0.9654624813098928;SO2;52553;52704;µg/m3
DE71;Darmstadt;DE71;Frankfurt am Main;0.9654624813098928;SO2;52553;52704;µg/m3
DE71;Darmstadt;DE71;Hanau;0.9654624813098928;SO2;52553;52704;µg/m3
DE71;Darmstadt;DE71;Wiesbaden;0.9654624813098928;SO2;52553;52704;µg/m3
DE71;Darmstadt;DE71;Darmstadt;15.805315662209892;PM10;105634;106378;µg/m3
DE71;Darmstadt;DE71;Frankfurt am Main;15.805315662209892;PM10;105634;106378;µg/m3
DE71;Darmstadt;DE71;Hanau;15.805315662209892;PM10;105634;106378;µg/m3
DE71;Darmstadt;DE71;Offenbach am Main;15.805315662209892;PM10;105634;106378;µg/m3
DE71;Darmstadt;DE71;Wiesbaden;15.805315662209892;PM10;105634;106378;µg/m3
DE71;Darmstadt;DE71;Darmstadt;44.30065442866909;O3;61213;61488;µg/m3
DE71;Darmstadt;DE71;Frankfurt am Main;44.30065442866909;O3;61213;61488;µg/m3
DE71;Darmstadt;DE71;Hanau;44.30065442866909;O3;61213;61488;µg/m3
DE71;Darmstadt;DE71;Wiesbaden;44.30065442866909;O3;61213;61488;µg/m3
DE71;Darmstadt;DE71;Darmstadt;26.719303083583775;NO2;105087;105587;µg/m3
DE71;Darmstadt;DE71;Frankfurt am Main;26.719303083583775;NO2;105087;105587;µg/m3
DE71;Darmstadt;DE71;Hanau;26.719303083583775;NO2;105087;105587;µg/m3
DE71;Darmstadt;DE71;Offenbach am Main;26.719303083583775;NO2;105087;105587;µg/m3
DE71;Darmstadt;DE71;Wiesbaden;26.719303083583775;NO2;105087;105587;µg/m3
DE71;Darmstadt;DE71;Darmstadt;0.2586929396397859;CO;61271;61488;µg/m3
DE71;Darmstadt;DE71;Frankfurt am Main;0.2586929396397859;CO;61271;61488;µg/m3
DE71;Darmstadt;DE71;Offenbach am Main;0.2586929396397859;CO;61271;61488;µg/m3
DE71;Darmstadt;DE71;Wiesbaden;0.2586929396397859;CO;61271;61488;µg/m3
DE71;Darmstadt;DE71;Darmstadt;15.164729367238095;NO;104931;105408;µg/m3
DE71;Darmstadt;DE71;Frankfurt am Main;15.164729367238095;NO;104931;105408;µg/m3
DE71;Darmstadt;DE71;Hanau;15.164729367238095;NO;104931;105408;µg/m3
DE71;Darmstadt;DE71;Offenbach am Main;15.164729367238095;NO;104931;105408;µg/m3
DE71;Darmstadt;DE71;Wiesbaden;15.164729367238095;NO;104931;105408;µg/m3
DEA2;Köln;DEA2;Aachen;14.921665387742614;PM10;78399;79971;µg/m3
DEA2;Köln;DEA2;Bonn;14.921665387742614;PM10;78399;79971;µg/m3
DEA2;Köln;DEA2;Koln;14.921665387742614;PM10;78399;79971;µg/m3
DEA2;Köln;DEA2;Leverkusen;14.921665387742614;PM10;78399;79971;µg/m3
DEA2;Köln;DEA2;Aachen;47.855175869734055;O3;33598;35136;µg/m3
DEA2;Köln;DEA2;Koln;47.855175869734055;O3;33598;35136;µg/m3
DEA2;Köln;DEA2;Leverkusen;47.855175869734055;O3;33598;35136;µg/m3
DEA2;Köln;DEA2;Aachen;24.30644580421401;NO2;75869;79238;µg/m3
DEA2;Köln;DEA2;Bonn;24.30644580421401;NO2;75869;79238;µg/m3
DEA2;Köln;DEA2;Koln;24.30644580421401;NO2;75869;79238;µg/m3
DEA2;Köln;DEA2;Leverkusen;24.30644580421401;NO2;75869;79238;µg/m3
DEA2;Köln;DEA2;Aachen;11.111478758685768;NO;75687;79056;µg/m3
DEA2;Köln;DEA2;Bonn;11.111478758685768;NO;75687;79056;µg/m3
DEA2;Köln;DEA2;Koln;11.111478758685768;NO;75687;79056;µg/m3
DEA2;Köln;DEA2;Leverkusen;11.111478758685768;NO;75687;79056;µg/m3
